,Cell,SPEI,lat,lon
1, 46.750000  48.250000,-1.8185,48.250000, 46.75000
2, 46.750000  48.750000,-1.724,48.750000, 46.75000
3, 46.750000  49.250000,-1.5735,49.250000, 46.75000
4, 46.750000  49.750000,-1.5353,49.750000, 46.75000
5, 47.250000  47.750000,-1.9023,47.750000, 47.25000
6, 47.250000  48.250000,-1.8061,48.250000, 47.25000
7, 47.250000  48.750000,-1.6668,48.750000, 47.25000
8, 47.250000  49.250000,-1.5465,49.250000, 47.25000
9, 47.250000  49.750000,-1.3701,49.750000, 47.25000
10, 47.250000  50.250000,-1.3445,50.250000, 47.25000
11, 47.750000  47.750000,-1.8984,47.750000, 47.75000
12, 47.750000  48.250000,-1.7628,48.250000, 47.75000
13, 47.750000  48.750000,-1.6424,48.750000, 47.75000
14, 47.750000  49.250000,-1.5642,49.250000, 47.75000
15, 47.750000  49.750000,-1.3874,49.750000, 47.75000
16, 47.750000  50.250000,-1.3247,50.250000, 47.75000
17, 48.250000  47.750000,-1.8282,47.750000, 48.25000
18, 48.250000  48.250000,-1.7435,48.250000, 48.25000
19, 48.250000  48.750000,-1.6303,48.750000, 48.25000
20, 48.250000  49.250000,-1.4535,49.250000, 48.25000
21, 48.250000  49.750000,-1.3824,49.750000, 48.25000
22, 48.250000  50.250000,-1.3492,50.250000, 48.25000
23, 48.250000  50.750000,-1.3197,50.750000, 48.25000
24, 48.750000  46.250000,-1.9868,46.250000, 48.75000
25, 48.750000  46.750000,-1.9516,46.750000, 48.75000
26, 48.750000  47.250000,-1.8875,47.250000, 48.75000
27, 48.750000  47.750000,-1.7865,47.750000, 48.75000
28, 48.750000  48.250000,-1.7266,48.250000, 48.75000
29, 48.750000  48.750000,-1.6223,48.750000, 48.75000
30, 48.750000  49.250000,-1.4043,49.250000, 48.75000
31, 48.750000  49.750000,-1.3823,49.750000, 48.75000
32, 48.750000  50.250000,-1.2542,50.250000, 48.75000
33, 48.750000  50.750000,-1.2101,50.750000, 48.75000
34, 49.250000  46.750000,-1.9239,46.750000, 49.25000
35, 49.250000  47.250000,-1.848,47.250000, 49.25000
36, 49.250000  47.750000,-1.7683,47.750000, 49.25000
37, 49.250000  48.250000,-1.7458,48.250000, 49.25000
38, 49.250000  48.750000,-1.6057,48.750000, 49.25000
39, 49.250000  49.250000,-1.4278,49.250000, 49.25000
40, 49.250000  49.750000,-1.3381,49.750000, 49.25000
41, 49.250000  50.250000,-1.2556,50.250000, 49.25000
42, 49.250000  50.750000,-1.0877,50.750000, 49.25000
43, 49.750000  46.750000,-1.8904,46.750000, 49.75000
44, 49.750000  47.250000,-1.8002,47.250000, 49.75000
